Symbol,Company,Sectors,nb_matched_measures,raw_score,normalized_score,Weight
A,Agilent Technologies,['Technology'],8,-4,-0.5,"0,0006"
AAPL,"Apple Inc,",['Technology'],8,-4,-0.5,"0,0597"
ABBV,AbbVie,['Healthcare'],2,0,0.0,"0,0062"
ABNB,Airbnb,['Technology'],8,-4,-0.5,"0,0013"
ABT,Abbott Laboratories,['Healthcare'],2,0,0.0,"0,0039"
ACGL,Arch Capital Group,['Finance'],3,-3,-1.0,"0,0006"
ACN,Accenture,['Technology'],8,-4,-0.5,"0,0026"
ADBE,"Adobe Inc,",['Technology'],8,-4,-0.5,"0,0026"
ADI,Analog Devices,['Technology'],8,-4,-0.5,"0,002"
ADM,Archer Daniels Midland,['Industrials'],1,1,1.0,"0,0005"
ADP,Automatic Data Processing,"['Technology', 'Finance']",10,-6,-0.6,"0,0021"
ADSK,Autodesk,['Technology'],8,-4,-0.5,"0,001"
AEE,Ameren,['Public Services'],4,-2,-0.5,"0,0005"
AEP,American Electric Power,['Public Services'],4,-2,-0.5,"0,001"
AES,AES Corporation,"['Public Services', 'Energy']",5,-1,-0.2,"0,0002"
AFL,Aflac,['Finance'],3,-3,-1.0,"0,001"
AIG,American International Group,['Finance'],3,-3,-1.0,"0,0008"
AIZ,Assurant,['Finance'],3,-3,-1.0,"0,0002"
AJG,"Arthur J, Gallagher & Co,",['Finance'],3,-3,-1.0,"0,0013"
AKAM,Akamai Technologies,['Technology'],8,-4,-0.5,"0,0002"
ALB,Albemarle Corporation,['Industrials'],1,1,1.0,"0,0002"
ALGN,Align Technology,"['Technology', 'Healthcare']",9,-3,-0.333,"0,0002"
ALL,Allstate,['Finance'],3,-3,-1.0,"0,0009"
ALLE,Allegion,['Industrials'],1,1,1.0,"0,0002"
AMAT,Applied Materials,"['Technology', 'Industrials']",9,-3,-0.333,"0,0026"
AMCR,Amcor,['Industrials'],1,1,1.0,"0,0003"
AMD,Advanced Micro Devices,['Technology'],8,-4,-0.5,"0,005"
AME,Ametek,['Industrials'],1,1,1.0,"0,0007"
AMGN,Amgen,['Healthcare'],2,0,0.0,"0,0027"
AMP,Ameriprise Financial,['Finance'],3,-3,-1.0,"0,0008"
AMT,American Tower,"['Technology', 'Industrials']",9,-3,-0.333,"0,0016"
AMZN,Amazon,['Technology'],8,-4,-0.5,"0,0427"
ANET,Arista Networks,['Technology'],8,-4,-0.5,"0,003"
AON,Aon,['Finance'],3,-3,-1.0,"0,0014"
AOS,"A, O, Smith",['Industrials'],1,1,1.0,"0,0002"
APA,APA Corporation,['Energy'],1,1,1.0,"0,0001"
APD,Air Products,['Industrials'],1,1,1.0,"0,0011"
APH,Amphenol,['Industrials'],1,1,1.0,"0,0023"
APO,Apollo Global Management,['Finance'],3,-3,-1.0,"0,0014"
APTV,Aptiv,['Industrials'],1,1,1.0,"0,0003"
ARE,Alexandria Real Estate Equities,['Public Services'],4,-2,-0.5,"0,0002"
ATO,Atmos Energy,['Public Services'],4,-2,-0.5,"0,0005"
AVB,AvalonBay Communities,['Industrials'],1,1,1.0,"0,0005"
AVGO,Broadcom,['Technology'],8,-4,-0.5,"0,0252"
AVY,Avery Dennison,['Industrials'],1,1,1.0,"0,0002"
AWK,American Water Works,['Public Services'],4,-2,-0.5,"0,0005"
AXON,Axon Enterprise,['Technology'],8,-4,-0.5,"0,001"
AXP,American Express,['Finance'],3,-3,-1.0,"0,0037"
AZO,AutoZone,"['Technology', 'Industrials']",9,-3,-0.333,"0,0012"
BA,Boeing,['Industrials'],1,1,1.0,"0,003"
BAC,Bank of America,['Finance'],3,-3,-1.0,"0,0061"
BALL,Ball Corporation,['Industrials'],1,1,1.0,"0,0003"
BAX,Baxter International,"['Industrials', 'Healthcare']",3,1,0.333,"0,0002"
BBY,Best Buy,['Industrials'],1,1,1.0,"0,0003"
BDX,Becton Dickinson,['Healthcare'],2,0,0.0,"0,001"
BEN,Franklin Resources,['Finance'],3,-3,-1.0,"0,0002"
BG,Bunge Global,['Energy'],1,1,1.0,"0,0003"
BIIB,Biogen,['Healthcare'],2,0,0.0,"0,0003"
BK,BNY Mellon,['Finance'],3,-3,-1.0,"0,0013"
BKNG,Booking Holdings,['Technology'],8,-4,-0.5,"0,0031"
BKR,Baker Hughes,"['Industrials', 'Energy']",1,1,1.0,"0,0007"
BLDR,Builders FirstSource,['Industrials'],1,1,1.0,"0,0003"
BLK,BlackRock,['Finance'],3,-3,-1.0,"0,0031"
BMY,Bristol Myers Squibb,['Healthcare'],2,0,0.0,"0,0017"
BR,Broadridge Financial Solutions,['Technology'],8,-4,-0.5,"0,0005"
BRO,Brown & Brown,['Finance'],3,-3,-1.0,"0,0005"
BSX,Boston Scientific,['Healthcare'],2,0,0.0,"0,0026"
BX,"Blackstone Inc,",['Finance'],3,-3,-1.0,"0,0023"
BXP,"BXP, Inc,",['Public Services'],4,-2,-0.5,"0,0002"
C,Citigroup,['Finance'],3,-3,-1.0,"0,003"
CAG,Conagra Brands,['Industrials'],1,1,1.0,"0,0002"
