Symbol,Sectors,#,Company,Weight,Price,Company Name,Market Cap,Revenue,Op. Income,Net Income,EPS,FCF
A,['Technology'],271,Agilent Technologies,"0,0006","118,81","Agilent Technologies, Inc.",34984052025.0,6788000000.0,1444000000.0,1220000000.0,4.27,1088000000.0
AAPL,['Technology'],3,"Apple Inc,","0,0597","233,28",Apple Inc.,3791126029400.0,408625000000.0,130214000000.0,99280000000.0,6.59,96184000000.0
ABBV,['Healthcare'],23,AbbVie,"0,0062","204,9",AbbVie Inc.,389720416194.0,58328000000.0,10968000000.0,3763000000.0,2.1,18239000000.0
ABNB,['Technology'],140,Airbnb,"0,0013","124,93","Airbnb, Inc.",77067091570.0,11580000000.0,2605000000.0,2625000000.0,4.13,4308000000.0
ABT,['Healthcare'],37,Abbott Laboratories,"0,0039","129,5",Abbott Laboratories,232438301320.0,43109000000.0,7515000000.0,13979000000.0,7.97,6775000000.0
ACGL,['Finance'],267,Arch Capital Group,"0,0006","91,26",Arch Capital Group Ltd.,33918260410.0,19156000000.0,4293000000.0,3694000000.0,9.68,6127000000.0
ACN,['Technology'],66,Accenture,"0,0026","245,75",Accenture plc,148843181410.0,68482536000.0,10529641000.0,7948771000.0,12.57,10243923000.0
ADBE,['Technology'],72,"Adobe Inc,","0,0026","349,03",Adobe Inc.,150851966353.0,23181000000.0,8402000000.0,6957000000.0,16.04,9599000000.0
ADI,['Technology'],93,Analog Devices,"0,002","234,79","Analog Devices, Inc.",122737701350.0,10386795000.0,2556677000.0,1957676000.0,3.92,3737292000.0
ADM,['Industrials'],302,Archer Daniels Midland,"0,0005","59,2",Archer-Daniels-Midland Company,29116147670.0,82776000000.0,887000000.0,1099000000.0,2.27,4109000000.0
ADP,"['Technology', 'Finance']",89,Automatic Data Processing,"0,0021","303,25","Automatic Data Processing, Inc.",118086236220.0,20560900000.0,5411900000.0,4079700000.0,9.98,4403500000.0
ADSK,['Technology'],169,Autodesk,"0,001","283,6","Autodesk, Inc.",69256729044.0,6605000000.0,1389000000.0,1043000000.0,4.82,1884000000.0
AEE,['Public Services'],308,Ameren,"0,0005","101,5",Ameren Corporation,27608852628.0,8432000000.0,1625000000.0,1227000000.0,4.57,-1623000000.0
AEP,['Public Services'],171,American Electric Power,"0,001","112,79","American Electric Power Company, Inc.",58367500434.0,20666700000.0,5130400000.0,3649700000.0,6.83,-3520200000.0
AES,"['Energy', 'Public Services']",486,AES Corporation,"0,0002","12,91",The AES Corporation,9427536227.0,12032000000.0,1370000000.0,1013000000.0,1.42,-2551000000.0
AFL,['Finance'],186,Aflac,"0,001","105,05",Aflac Incorporated,59558834726.0,15910000000.0,3396000000.0,2437000000.0,4.39,2591000000.0
AIG,['Finance'],226,American International Group,"0,0008","80,14","American International Group, Inc.",43201220223.0,27802000000.0,5120000000.0,3199000000.0,5.16,3159000000.0
AIZ,['Finance'],466,Assurant,"0,0002","212,67","Assurant, Inc.",10880015076.0,12304900000.0,981200000.0,717000000.0,13.8,968800000.0
AJG,['Finance'],146,"Arthur J, Gallagher & Co,","0,0013","292,59",Arthur J. Gallagher & Co.,77983794781.0,12471000000.0,2784100000.0,1641100000.0,6.61,1971800000.0
AKAM,['Technology'],467,Akamai Technologies,"0,0002","74,25","Akamai Technologies, Inc.",10904469404.0,4083251000.0,524741000.0,424601000.0,2.82,678914000.0
